Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm),Prin1 (L. gentilis),Prin1 (C. coccinea)
92993,M.tener,Mt117,31.62,-94.5,Nacogdoches,Texas,0.39231153,0.440681197,49.27908695,56.54732578,-0.667084518,-1.066904785
256,M.tener,Mt118,30.7,-95.58,Walker,Texas,0.410110487,0.384536577,50.23533821,54.5324221,0.212109666,0.01060868
3291,M.tener,Mt119,30.6,-99.23,Mason,Texas,0.481518278,0.339991815,60.61847981,65.41741171,1.564582154,1.568290121
260,M.tener,Mt120,27.22,-97.78,Kenedy,Texas,0.294406489,0.479635758,58.97342839,66.26469337,-2.255208567,-2.864111249
2687,M.tener,Mt121,30.63,-96.33,Brazos,Texas,0.482393074,0.346023486,45.90202301,52.41984473,1.501991387,1.486722278
257,M.tener,Mt122,30.6,-95.43,Walker,Texas,0.422282094,0.394138614,42.55586082,46.237816,0.235700116,0.012994889
290,M.tener,Mt123,30.63,-96.33,Brazos,Texas,0.450236238,0.383880176,67.23204944,72.11009024,0.678747928,0.512917541
3290,M.tener,Mt124,30.57,-99.22,Mason,Texas,0.344535908,0.422592002,51.83960389,56.29620398,-0.995574564,-1.376207367
543,M.tener,Mt126,30.59,-96.33,Brazos,Texas,0.381581014,0.464884468,46.24731405,52.50402298,-1.081050629,-1.56891864
259,M.tener,Mt127,30.17,-99.7,Kerr,Texas,0.446955334,0.349343411,55.39102041,61.80652144,1.056893065,1.001167439
534,M.tener,Mt128,30.63,-96.33,Brazos,Texas,0.43614551,0.371025938,52.67440902,57.00309008,0.672357722,0.536754411
3292,M.tener,Mt129,30.18,-93.9,Orange,Texas,0.45420507,0.362035889,23.57399712,26.62247722,0.987020303,0.895880355
1070,M.tener,Mt130,30.63,-96.33,Brazos,Texas,0.47264811,0.364450626,44.08531325,48.20822476,1.168809051,1.085188676
3314,M.tener,Mt131,31.02,-96.1,Leon,Texas,0.389974195,0.431436228,49.85650394,56.20686891,-0.582541826,-0.954107813
605,M.tener,Mt132,28.22,-96.87,Refugio,Texas,0.382125529,0.408084988,53.04474965,59.81574727,-0.391236856,-0.693062316
93001,M.tener,Mt133,30.48,-96.3,Brazos,Texas,0.367100196,0.478157074,46.80481833,53.71591911,-1.406340265,-1.94967443
1078,M.tener,Mt134,30.75,-98.65,Llano,Texas,0.39875447,0.361944228,55.58189482,63.22552335,0.354183435,0.217012901
93065,M.tener,Mt135,29.93,-98.03,Hays,Texas,0.43848565,0.374483536,58.8274781,64.540732,0.657498808,0.512553314
3293,M.tener,Mt136,30.67,-96.37,Brazos,Texas,0.468209391,0.353305778,57.57177562,64.64824639,1.252192904,1.201278759
90610,M.tener,Mt137,30.57,-96.25,Brazos,Texas,0.436794366,0.395748764,47.72759818,53.85583665,0.382233587,0.16639262
92283,M.tener,Mt138,30.5,-95.68,Montgomery,Texas,0.482278457,0.361571613,59.35496928,63.87819372,1.313557442,1.24739035
27506,M.tener,Mt139,31.63,-92.87,Grant,Louisiana,0.443576444,0.346721649,50.69337046,57.97746513,1.049817064,0.999834698
19065,M.tener,Mt140,31.07,-92.83,Vernon,Louisiana,0.443576444,0.346721649,50.96447799,58.65385081,1.049817064,0.999834698
14111,M.tener,Mt141,30.88,-92.65,Allen,Louisiana,0.377292601,0.435355965,48.37723544,54.75872532,-0.774698894,-1.169668021
12966,M.tener,Mt142,29.67,-98.55,Bexar,Texas,0.347467225,0.384938353,57.67477788,61.97139381,-0.508896019,-0.764049467
38814,M.tener,Mt143,31.47,-94.65,Nacogdoches,Texas,0.42728564,0.361967043,54.06354631,61.55485658,0.680091987,0.566685268
46082,M.tener,Mt144,31.95,-95.27,Cherokee,Texas,0.308733876,0.487638311,39.06225696,43.79003496,-2.187722139,-2.810801683
14787,M.tener,Mt145,30.58,-95.75,Montgomery,Texas,0.409934,0.467667,35.00207615,40.01795346,-0.790392695,-1.263662916
14788,M.tener,Mt146,30.58,-95.78,Montgomery,Texas,0.48531,0.411719,36.10902656,40.88183091,0.744685761,0.517199148
8572,M.tener,Mt147,32.08,-95.9,Henderson,Texas,0.483124,0.34816,56.95667558,63.1986738,1.484634509,1.46299522
39084,M.tener,Mt148,32.13,-95.9,Henderson,Texas,0.449174,0.35893,44.66224923,48.15596944,0.966882251,0.881686978
16849,M.tener,Mt149,33.28,-95.43,Hopkins,Texas,0.483547,0.354895,44.7732727,50.40220269,1.408413926,1.365122008
9279,M.tener,Mt150,30.02,-99.13,Kerr,Texas,0.438669,0.370008,40.75901337,43.88089294,0.713458576,0.583289718
19594,M.tener,Mt151,27.23,-98.82,Jim Hogg,Texas,0.309516,0.490917,69.1546625,75.76434293,-2.218239909,-2.851378818
32811,M.tener,Mt152,27.17,-98.62,Jim Hogg,Texas,0.322159,0.490677,41.04437989,44.63364425,-2.070810147,-2.692601397
19595,M.tener,Mt153,27.23,-98.82,Jim Hogg,Texas,0.180295,0.559245,12.62793666,14.23427082,-4.517897127,-5.482258837
18012,M.tener,Mt154,28.43,-98.92,La Salle,Texas,0.390082,0.428161,49.05180756,53.12611112,-0.54189158,-0.902665956
32214,M.tener,Mt155,28.35,-99.15,La Salle,Texas,0.314596,0.464395,46.70794316,54.00591367,-1.840967245,-2.383203273
15722,M.tener,Mt156,28.32,-99.08,La Salle,Texas,0.387058,0.464565,44.6869182,51.35668685,-1.014590048,-1.496838094
22398,M.tener,Mt157,28.2,-98.82,La Salle,Texas,0.396351,0.413572,45.84730888,49.78781661,-0.294640745,-0.602508898
5139,M.tener,Mt158,28.12,-97.43,San Patricio,Texas,0.422822,0.410374,63.26723606,66.46763785,0.046477772,-0.228824133
6909,M.tener,Mt159,31.33,-94.7,Angelina,Texas,0.530865,0.329959,21.17460061,23.43484186,2.249485613,2.327205141
6743,M.tener,Mt161,31.33,-94.7,Angelina,Texas,0.485142,0.358217,54.92075988,58.96885652,1.386668123,1.333854498
1454,M.tener,Mt162,31.32,-94.28,Angelina,Texas,0.404564,0.416049,52.39088361,55.97920335,-0.230556463,-0.539655883
36752,M.tener,Mt163,31.02,-95.73,Grimes,Texas,0.438975,0.391927,50.13861605,57.53695679,0.453159117,0.25162741
35835,M.tener,Mt164,29.18,-97,Lavaca,Texas,0.412668,0.368315,59.04236562,66.79785371,0.436577117,0.290215644
2869,M.tener,Mt165,31.32,-95.78,Leon,Texas,0.460866,0.377389,31.02383632,34.98633729,0.878394967,0.742655338
34694,M.tener,Mt166,31.45,-96.05,Leon,Texas,0.473767,0.377682,42.44548783,48.77737051,1.0223596,0.89644166
40458,M.tener,Mt167,30.67,-98.95,Llano,Texas,0.396751,0.399801,44.60131641,50.71659709,-0.124332091,-0.386870433
36755,M.tener,Mt168,30.43,-94.83,Liberty,Texas,0.434892,0.361296,24.80687833,28.37047712,0.775127924,0.670269046
36754,M.tener,Mt169,30.43,-94.83,Liberty,Texas,0.384019,0.423981,47.81263323,52.30558398,-0.560900136,-0.913082466
36753,M.tener,Mt170,30.43,-94.83,Liberty,Texas,0.389995,0.409188,37.68630395,43.86496604,-0.314543865,-0.613398225
35117,M.tener,Mt172,31.48,-94.7,Nacogdoches,Texas,0.419209,0.456779,54.35393768,63.88380424,-0.553317691,-0.983262826
22330,M.tener,Mt173,32.3,-94.15,Panola,Texas,0.457599,0.371673,52.6288798,57.40299797,0.909837678,0.790044963
12964,M.tener,Mt174,32.17,-94.85,Rusk,Texas,0.45701,0.382418,43.13614086,46.11199118,0.773786553,0.618393319
22332,M.tener,Mt175,32.17,-94.85,Rusk,Texas,0.478009,0.345422,45.08017289,48.6712534,1.459109336,1.442142551
19593,M.tener,Mt176,31.93,-94.67,Rusk,Texas,0.44462,0.392743,59.07364426,66.28836429,0.507875026,0.308393617
32394,M.tener,Mt177,31.37,-93.73,Sabine,Texas,0.471147,0.347747,58.3444033,63.15425212,1.352677737,1.32238087
35505,M.tener,Mt178,31.37,-94.23,San Augustine,Texas,0.416925,0.417693,58.08046031,65.01563175,-0.109024838,-0.413168031
36762,M.tener,Mt179,30.72,-95.55,Walker,Texas,0.443689,0.381996,23.55457118,26.17906986,0.626572793,0.461428448
38424,M.tener,Mt180,30.72,-95.55,Walker,Texas,0.420207,0.416166,38.4066267,43.33007087,-0.053125683,-0.349537353
18415,M.tener,Mt181,30.72,-95.45,Walker,Texas,0.466835,0.361431,58.29739571,65.23945717,1.138692126,1.06008116
36763,M.tener,Mt182,30.67,-95.55,Walker,Texas,0.424046,0.407736,55.37084083,60.74086009,0.092219823,-0.173439959
36760,M.tener,Mt183,30.65,-95.55,Walker,Texas,0.401452,0.420976,64.00268973,68.40502534,-0.325431501,-0.653229623
15552,M.tener,Mt184,30.62,-95.52,Walker,Texas,0.451172,0.414199,52.34178951,59.17114181,0.32455534,0.060442553
38422,M.tener,Mt185,30.72,-95.55,Walker,Texas,0.418043,0.401518,50.60299257,56.75329671,0.098424794,-0.151933814
36764,M.tener,Mt186,30.9,-95.68,Walker,Texas,0.489199,0.366614,50.81235597,57.76067037,1.331990943,1.25513052
38423,M.tener,Mt187,30.67,-95.53,Walker,Texas,0.477206,0.365461,41.65896263,45.83108296,1.208757241,1.12564376
36761,M.tener,Mt188,30.72,-95.55,Walker,Texas,0.505234,0.363586,46.55085086,53.35152515,1.551753725,1.498184604
15731,M.tener,Mt189,32.7,-96.9,Dallas,Texas,0.3633,0.40336,28.24471801,31.97906809,-0.549594267,-0.851710324
33849,M.tener,Mt190,32.6,-97,Dallas,Texas,0.44084,0.380903,53.04183279,60.6236924,0.607155934,0.44320248
30865,M.tener,Mt191,32.67,-96.92,Dallas,Texas,0.351142,0.417927,47.37175615,53.28990012,-0.863906432,-1.223777206
9017,M.tener,Mt192,32.58,-96.95,Dallas,Texas,0.413103,0.38167,28.64572793,31.09473055,0.280821226,0.091186848
32191,M.tener,Mt193,32.55,-96.98,Dallas,Texas,0.421365,0.398143,73.73917214,80.51822478,0.177022153,-0.059533324
14616,M.tener,Mt194,32.48,-95.27,Smith,Texas,0.450496,0.335949,36.79393598,40.91563414,1.258575148,1.249572948
16396,M.tener,Mt195,32.48,-95.27,Smith,Texas,0.436643,0.389616,58.91538844,63.23549605,0.454311647,0.258382509
15728,M.tener,Mt196,32.48,-95.17,Smith,Texas,0.487569,0.33289,56.3618763,65.44898155,1.719228346,1.751196405
19465,M.tener,Mt197,32.5,-95.3,Smith,Texas,0.460646,0.334298,47.91764608,54.43715506,1.394485196,1.399358029
15730,M.tener,Mt198,32.17,-95.25,Smith,Texas,0.450974,0.367751,55.9695035,60.12644573,0.881298985,0.768785761
7256,M.tener,Mt199,30.12,-101.12,Val Verde,Texas,0.398424,0.370863,56.02902785,64.47700309,0.243066834,0.076478836
32601,M.tener,Mt200,30.02,-101.17,Val Verde,Texas,0.423587,0.357978,44.65606878,49.45207346,0.68581583,0.582352691
6683,M.tener,Mt201,29.88,-101.17,Val Verde,Texas,0.375411,0.427837,53.03614735,57.01085762,-0.705718682,-1.077692328
2598,M.tener,Mt202,29.78,-101.42,Val Verde,Texas,0.327122,0.444061,41.82462461,44.7622325,-1.453041373,-1.918372017
9038,M.tener,Mt203,30.17,-101.12,Val Verde,Texas,0.423074,0.37598,62.6180658,67.98688034,0.463294706,0.300582901
17199,M.tener,Mt204,31.05,-93.92,Jasper,Texas,0.401768,0.415147,30.87877854,34.35826926,-0.251666106,-0.56015443
