Catalog #,Species,Personal ID,Latitude,Longitude,County,State,Prop of dorsum red,Prop of dorsum black,SVL (cm),TL (cm)
113930,C. coccinea (East),Cc468,29.3684,-82.0454,Marion,Florida,0.329306303,0.484650393,36.255,42.808
67388,C. coccinea (East),Cc420,29.525832,-81.593551,Putnam,Florida,0.390298181,0.304926001,73.244,84.216
74111,C. coccinea (East),Cc32,29.32,-82.75,Levy,Florida,0.373742115,0.422056181,39.93896152,45.5279307
87511,C. coccinea (East),Cc342,29.328864,-83.14278,Dixie,Florida,0.367434404,0.423836943,30.566,35.511
80997,C. coccinea (East),Cc36,29.45,-82.01,Marion,Florida,0.469202854,0.32589333,20.052872,23.25854817
64462,C. coccinea (East),Cc639,29.58,-81.7,Putnam,Florida,0.395117729,0.40200831,28.88,33.223
12375,C. coccinea (East),Cc28,29.45,-82.14,Alachua,Florida,0.453550534,0.317876088,39.88341734,46.57201004
144826,C. coccinea (East),Cc343,29.368389,-83.143403,Dixie,Florida,0.356234522,0.430192089,29.882,34.478
113806,C. coccinea (East),Cc311,29.49095,-82.16575,Alachua,Florida,0.432875225,0.359569691,40.529,47.905
10759,C. coccinea (East),Cc93,29.54,-82.06,Alachua,Florida,0.310650982,0.444076739,43.5207484,50.04148879
106015,C. coccinea (East),Cc313,29.49247,-82.33514,Alachua,Florida,0.415646335,0.376995994,35.446,41.856
113958,C. coccinea (East),Cc417,29.5644131,-82.0170403,Putnam,Florida,0.336219173,0.43393838,44.239,52.131
116846,C. coccinea (East),Cc312,29.51589,-82.22689,Alachua,Florida,0.489334615,0.312894593,38.489,44.673
113810,C. coccinea (East),Cc473,29.5173,-82.2218,Alachua,Florida,0.545059826,0.277081916,49.978,57.423
81811,C. coccinea (East),Cc422,29.8902,-81.3332,St. Johns,Florida,0.48673951,0.350301197,38.347,44.318
64793,C. coccinea (East),Cc423,29.8827,-81.361,St. Johns,Florida,0.487212276,0.370556918,38.318,44.018
61041,C. coccinea (East),Cc41,29.54,-82.36,Alachua,Florida,0.379170977,0.395437381,32.02480966,37.17528319
113805,C. coccinea (East),Cc472,29.54233,-82.352,Alachua,Florida,0.484247375,0.287160039,44.564,51.383
73424,C. coccinea (East),Cc352,29.6645,-84.8639,Franklin,Florida,0.410506312,0.378464317,53.149,61.495
15633,C. coccinea (East),Cc141,29.73,-84.99,Franklin,Florida,0.348468663,0.401099002,32.11052864,36.31738124
113878,C. coccinea (East),Cc356,29.694696,-85.232201,Gulf,Florida,0.337799258,0.395570782,49.038,56.707
124140,C. coccinea (East),Cc418,29.6882,-82.0021,Putnam,Florida,0.481084194,0.314675498,27.781,31.947
113816,C. coccinea (East),Cc357,29.738158,-85.179174,Gulf,Florida,0.409462353,0.374520965,35.488,41.402
157353,C. coccinea (East),Cc425,30.0214,-81.336,St. Johns,Florida,0.336901508,0.480716672,39.516,45.776
113957,C. coccinea (East),Cc419,29.72595,-81.94979,Putnam,Florida,0.466583146,0.320464308,39.112,45.977
49415,C. coccinea (East),Cc1,29.66,-82.25,Alachua,Florida,0.504931548,0.286354007,20.0613408,24.75428521
8701,C. coccinea (East),Cc40,29.65,-82.33,Alachua,Florida,0.47558523,0.3484722,32.37109057,37.20988909
50759,C. coccinea (East),Cc424,29.97276,-81.47872,St. Johns,Florida,0.413553455,0.391346026,37.555,43.256
196038,C. coccinea (East),Cc236,29.60849,-83.36654,Dixie,Florida,0.447215766,0.360590047,43.60740713,49.41655154
113875,C. coccinea (East),Cc349,29.8007,-84.83081,Franklin,Florida,0.477367097,0.363880929,34.198,40.097
73423,C. coccinea (East),Cc353,29.7843,-84.7718,Franklin,Florida,0.345697155,0.426728192,34.024,39.707
113970,C. coccinea (East),Cc441,29.73557,-83.45321,Taylor,Florida,0.460654706,0.288243626,38.124,44.817
26490,C. coccinea (East),Cc765,29.98,-85.1,Gulf,Florida,0.58939532,0.245860771,58.163,65.511
113971,C. coccinea (East),Cc440,29.743158,-83.46933,Taylor,Florida,0.291036652,0.43371235,33.068,37.956
113961,C. coccinea (East),Cc421,30.107,-81.5549,St. Johns,Florida,0.506352786,0.346973947,54.543,64.369
88451,C. coccinea (East),Cc350,29.8678,-84.6643,Franklin,Florida,0.468143847,0.393150392,42.017,46.507
113817,C. coccinea (East),Cc318,29.8638,-82.2433,Bradford,Florida,0.35493233,0.428091147,34.801,39.082
35332,C. coccinea (East),Cc135,30.03,-84.99,Liberty,Florida,0.341107529,0.45592449,26.15426295,30.51282869
53853,C. coccinea (East),Cc198,30.03,-84.98,Liberty,Florida,0.574620919,0.280241012,37.51226816,42.79529905
113876,C. coccinea (East),Cc351,29.9259,-84.4751,Franklin,Florida,0.330010063,0.425518968,42.729,50.136
113822,C. coccinea (East),Cc317,29.9686,-82.18903,Bradford,Florida,0.454290263,0.348206804,23.868,26.487
113820,C. coccinea (East),Cc319,29.9686,-82.18903,Bradford,Florida,0.409344665,0.397646055,28.123,33.226
113819,C. coccinea (East),Cc320,29.9686,-82.18903,Bradford,Florida,0.501441678,0.328964613,34.335,40.142
113818,C. coccinea (East),Cc321,29.9686,-82.18903,Bradford,Florida,0.50188614,0.323321911,34.727,40.337
60973,C. coccinea (East),Cc30,30.17,-81.71,Clay,Florida,0.393858201,0.362053639,45.96014294,52.35988805
60974,C. coccinea (East),Cc31,30.17,-81.71,Clay,Florida,0.342307286,0.457623656,32.90891297,37.72880496
34865,C. coccinea (East),Cc137,33.17,-79.56,Charleston,South Carolina,0.499415533,0.355773152,38.32680153,44.04516282
113918,C. coccinea (East),Cc475,30.14533,-85.06047,Liberty,Florida,0.416054084,0.385346881,49.109,56.946
113899,C. coccinea (East),Cc476,30.14391,-85.06932,Liberty,Florida,0.350222904,0.458103638,41.722,48.299
2417,C. coccinea (East),Cc196,29.99,-84.6,Liberty,Florida,0.435869258,0.428502339,40.80729179,46.73194211
